Modell,Type,Style,Height,Length,Weight,Class
1er,F40,Hatch 5dr,1434,4319,1935,2
1er,F52 CN,Sedan,1446,4456,1549,2
2er,F22,Coupé,1418,4432,1457,1
2er,F23,Convertible,1413,4432,2086,1
2er,G42,Coupé,1403,4526,2047,1
2er,F44,Gran Coupé,1420,4526,1998,1
2er,F45,Active Tourer,1555,4342,1961,2
2er,F45 CN,Active Tourer,1600,4364,2035,0
2er,F46,Gran Tourer,1612,4556,2050,0
2er,F87,M-Coupé 3dr,1410,4468,2007,1
3er,G20,Sedan,1442,4708,2030,1
3er,G20 PHEV,Sedan,1459,4717,1791,1
3er,G21,Estate,1440,4709,2180,2
3er,F34,Gran Turismo,1508,4824,2148,1
3er,F35,Sedan EWB CN,1455,4760,2149,1
3er,F80,Sedan M3,1431,4671,2075,1
3er,G80,M-Sedan,1446,4804,2225,1
4er,F32,Coupé 3dr,1392,4640,2051,1
4er,F33,Convertible,1384,4640,2261,1
4er,F36,Gran Coupé 5dr,1389,4640,2105,1
4er,F82,Coupé 3dr M4,1383,4671,2074,1
4er,F83,Convertible M4,1392,4671,2302,1
4er,G22,Coupé,1383,4768,2025,1
4er,G23,Convertible,1384,4768,2190,1
4er,G26,Gran Coupe,1461,4788,2190,1
4er,G82,M-Coupé,1406,4804,2218,1
4er,G83,M-Cabriolet,1403,4794,2427,1
5er,G30,Sedan,1480,4936,2450,1
5er,G31,Estate,1480,4942,2525,2
5er,G38,Sedan (EWB),1500,5087,2296,1
5er,F90,M-Sedan,1496,4966,2520,1
6er,G32,Gran Turismo,1550,5091,2530,1
6er,F06,Coupé 5dr,1392,5007,2380,1
7er,G11,Sedan SWB,1490,5120,2600,1
7er,G12,Sedan EWB,1502,5260,2560,1
7er,G70,Sedan EWB,1544,5391,2700,1
8er,G14,Cabriolet,1345,4851,2540,1
8er,G15,Coupé,1346,4851,2531,1
8er,G16,Gran Coupé 5dr,1426,5074,2473,1
8er,F93,M-Gran Coupé,1440,5098,2493,1
8er,F92,M-Coupé,1381,4867,2403,1
8er,F91,M-Cabriolet,1353,4867,2521,1
i3,I01,Hatch 3dr,1588,4011,1813,0
i4,G26,Coupe 5 Tür,1448,4783,2215,1
i8,I15,Roadster,1289,4689,1615,1
i8,I12,Coupé 3dr,1289,4689,1535,1
iX,I20,SUV,1696,4955,2428,0
iX3,G08,SUV,1668,4734,2185,0
MINI,F54,Clubman,1461,4253,1910,2
MINI,F55,Hatch 5dr,1446,3982,1730,2
MINI,F56,Hatch 3dr,1437,3821,1680,2
MINI,F56 BEV,Hatch 3dr,1437,3821,1840,2
MINI,F57,Convertible,1437,3821,1590,2
MINI,F60 PHEV,SAV,1599,4299,1790,0
MINI,F60,SAV,1557,4299,1981,0
X1,F48,SAV,1598,4439,2028,0
X1,U11,SAV,1598,4439,2275,0
X1,F49,SAV EWB,1620,4565,1689,0
X2,F39,SAV,1544,4360,2016,2
X2,F39 PHEV,SAV,1544,4360,1876,2
X3,G01,SAV,1683,4708,2290,0
X3,F97,M-SAV,1688,4716,2503,0
X3,G08 BEV,SAV,1689,4746,2189,0
X4,G02,SAC,1635,4752,2360,0
X4,F98,M-SAC,1633,4754,25002,0
X5,G05,SAV,1786,4922,2700,0
X5,F95,M-SAV,1748,4938,2800,0
X6,G06,SAC,1704,4935,2634,0
X6,F96,M-SAC,1700,4941,2800,0
X7,G07,SAV,1835,5151,2800,0
Z4,G29,Roadster,1320,4324,1989,1
Xneu,I21,SUV,1696,4955,2700,0
Supra,J29,Roadster,1295,4380,2020,1
